,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Total Bsmt SF,1st Flr SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Cars,Garage Area,SalePrice,Garage Car Means,Exter Qual Means,Foundation Means,Bsmt Qual Means,Garage Finish Means,Interaction,Overall Qual Projections,Neighborhood Projections,TotRms AbvGrd Projections,Neighborhood * Total Rooms Projections,Neighborhood * Overall Quality Projections,Overall Quality * Total Rooms Projections
0,0.0,13517,6,1976,2005,725.0,725,1479,6,1976.0,2.0,475.0,130500,184125.95686619717,230802.4849354376,148415.5307068366,139988.4611048478,204792.03626943004,2078.5966185772463,181478.6924054309,183582.99153444284,179727.10560215628,32994839706.270573,33316401251.547977,32616640114.492115
1,43.0,11492,7,1996,1997,913.0,913,2122,8,1997.0,2.0,559.0,220000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2403.6779646095515,257742.2550236175,239557.94917723315,256755.19924501452,61507748971.72756,61744206029.773224,66176664042.44826
2,68.0,7922,5,1953,2007,1057.0,1057,1057,5,1953.0,1.0,246.0,109000,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1755.4263971419937,119411.16783236885,128850.39906788668,119041.62864159897,15338561356.161198,15386176628.36312,14214899896.760502
3,73.0,9802,5,2006,2007,384.0,744,1444,7,2007.0,2.0,400.0,174000,184125.95686619717,143270.97834803528,227676.4838012959,202537.58217592593,239800.66404715128,1891.1718278629114,167086.33186957304,122705.93636350041,127140.16937608938,15600853532.707088,20502484805.59854,21243384534.327
4,82.0,14235,6,1900,1993,676.0,831,1445,6,1957.0,2.0,484.0,138500,184125.95686619717,143270.97834803528,227676.4838012959,107077.42608695652,140718.148409894,1946.9231308268595,130330.8876157938,136066.85073845522,155988.46388713096,21224859032.65116,17733713431.828598,20330114956.233974
5,137.0,16492,6,1966,2002,1517.0,1888,1888,6,1966.0,2.0,578.0,190000,184125.95686619717,230802.4849354376,148415.5307068366,139988.4611048478,239800.66404715128,2148.0764936035052,208467.7480260149,197819.0078542954,192253.22523209866,38031342272.20215,41238883084.12551,40078596914.87383
6,35.0,3675,6,2005,2006,547.0,1072,1072,5,2005.0,2.0,525.0,140000,184125.95686619717,143270.97834803528,227676.4838012959,202537.58217592593,239800.66404715128,1969.8525717481061,139237.69633038255,154116.03075315335,159209.5599490681,24536745437.30659,21458761089.651463,22167972361.08218
7,0.0,12160,5,1959,1959,1188.0,1188,1188,6,1959.0,2.0,531.0,142000,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,204792.03626943004,1784.8507140443378,129745.2846240125,134018.75180619807,126769.37734495618,16989473719.01995,17388301098.05006,16447728945.230183
8,0.0,15783,5,1952,1952,924.0,924,924,6,1952.0,1.0,420.0,112500,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1721.5632895611038,107518.10299656191,105618.50363242684,115359.65834577367,12184114494.028616,11355901151.894018,12403251627.669086
9,70.0,11606,5,1969,1969,1040.0,1040,2080,9,1969.0,2.0,504.0,135000,184125.95686619717,143270.97834803528,227676.4838012959,202537.58217592593,140718.148409894,1985.976306273182,200382.62063352886,169346.2670987497,150631.41067584493,25508867105.773094,33934048795.75301,30183916820.951126
